Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/dispatch-tasks/:task_id,5803,0,140,146.3804446320837,13.359300000956864,378.7059999995108,218.0,97.89156583117807,0.0,140,160,170,180,210,230,280,310,370,380,380
GET,GET /api/v1/dispatch-tasks/:task_id/result,3529,0,190,193.95625769338977,50.062399999660556,436.65380000129517,674.0,59.53116247083016,0.0,190,210,220,230,260,290,340,360,410,440,440
GET,GET /health,9527,0,70,78.05666872046852,3.322299999126699,332.1376000003511,319.0,160.7122088012465,0.0,70,81,90,97,120,150,180,220,260,330,330
POST,POST /api/v1/dispatch-tasks,166,0,140,141.77328674694687,63.50670000028913,335.5774999999994,180.0,2.800275707043867,0.0,140,150,160,170,190,230,270,300,340,340,340
,Aggregated,19025,0,110,120.95125372403966,3.322299999126699,436.65380000129517,352.8301182654402,320.93521281029865,0.0,110,140,160,170,210,240,280,310,380,410,440
