Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/dispatch-tasks/:task_id,1278,0,140,150.02694647887023,22.931200000130048,744.9458000000959,218.0,90.96219421497048,0.0,140,160,170,180,200,230,270,570,740,740,740
GET,GET /api/v1/dispatch-tasks/:task_id/result,838,0,180,193.66213651550535,38.42610000037894,788.2450000001882,670.0,59.64500684831398,0.0,180,200,210,220,250,280,590,740,790,790,790
GET,GET /health,2165,0,70,77.97104420323623,6.808699999965029,534.3354000001455,296.0,154.09479692911668,0.0,70,82,91,96,120,150,180,200,530,530,530
POST,POST /api/v1/dispatch-tasks,47,0,120,132.54259148940966,50.84369999985938,206.0684000002766,180.08510638297872,3.3452450141655814,0.0,120,150,170,180,190,190,210,210,210,210,210
,Aggregated,4328,0,110,122.24124780499024,6.808699999965029,788.2450000001882,344.12384473197784,308.0472430065667,0.0,110,140,160,170,200,230,270,520,750,790,790
