Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/dispatch-tasks/:task_id,5606,0,140,150.16195260435254,3.497700001389603,417.5558999995701,218.0,94.36600756296014,0.0,140,160,180,180,210,230,270,290,380,420,420
GET,GET /api/v1/dispatch-tasks/:task_id/result,3598,0,190,196.8864862423808,9.357699998872704,426.3909000001149,674.0,60.565268500094646,0.0,190,210,230,240,260,290,320,340,420,430,430
GET,GET /health,9261,0,73,80.29517914912333,2.393099999608239,328.631200000018,319.0,155.89075919382338,0.0,73,83,92,99,120,150,180,210,270,330,330
POST,POST /api/v1/dispatch-tasks,196,0,130,139.154247959215,43.77339999882679,361.291600000186,180.0,3.2992753268534045,0.0,130,150,160,170,200,230,260,330,360,360,360
,Aggregated,18661,0,110,124.3820465409204,2.393099999608239,426.3909000001149,355.6454102138149,314.12131058373154,0.0,110,150,170,180,210,240,270,290,390,420,430
