Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/dispatch-tasks/:task_id,5842,0,140,147.5345270455355,13.721799999984796,333.35449999867706,218.0,98.59488164018562,0.0,140,160,170,180,210,230,260,280,320,330,330
GET,GET /api/v1/dispatch-tasks/:task_id/result,3496,0,190,195.7454249427977,11.426600000049802,412.7210999995441,674.0,59.00166145396935,0.0,190,210,220,230,260,290,320,340,400,410,410
GET,GET /health,9375,0,72,78.27396127999974,2.119799999491079,238.741499999378,319.0,158.2209885958131,0.0,72,82,92,100,120,140,170,190,230,240,240
POST,POST /api/v1/dispatch-tasks,185,0,130,136.49909621615095,34.31579999960377,244.61110000083863,180.0,3.122227508290712,0.0,130,150,160,170,190,210,230,230,240,240,240
,Aggregated,18898,0,110,121.98610606413561,2.119799999491079,412.7210999995441,352.08937453698803,318.9397591982588,0.0,110,140,160,180,210,230,270,300,360,410,410
