Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/dispatch-tasks/:task_id,5316,0,100,114.54295205042472,2.425899998343084,457.9260999998951,223.0,89.64929920006621,0.0,100,120,140,150,190,220,280,310,410,460,460
GET,GET /api/v1/dispatch-tasks/:task_id/result,2257,0,130,139.5262223305532,4.508000001806067,464.1192000017327,132.0,38.062164840961145,0.0,130,150,170,180,220,250,300,320,440,460,460
GET,GET /api/v1/runtime/threads/:thread_id,738,0,89,102.61887560986624,9.512000000540866,455.9363999978814,30457.0,12.44567020497533,0.0,89,110,130,140,180,200,250,280,460,460,460
GET,GET /health,15867,0,57,67.39236107016674,1.1844000000564847,386.1880000004021,319.0,267.58190940696966,0.0,57,70,81,90,120,150,190,230,350,370,390
GRAPH,Neo4j bounded graph query,240,0,4,5.7470091666497565,2.5899000029312447,147.4969000009878,0.0,4.047372424382222,0.0,4,4,5,5,6,9,15,66,150,150,150
POST,POST /api/v1/dispatch-tasks,167,0,67,74.76695628751705,6.2380999988818076,340.5227000002924,179.311377245509,2.8162966452992957,0.0,67,84,100,110,140,160,210,300,340,340,340
POST,POST /api/v1/memory/mutations,78,0,330,313.1270153846391,31.098399998882087,948.4000000011292,339.0,1.315396037924222,0.0,340,400,440,480,590,800,940,950,950,950,950
POST,POST /api/v1/runtime/threads/:thread_id/overrides,74,0,130,137.28142162177096,18.756299999949988,512.4985000002198,772.8243243243244,1.247939830851185,0.0,130,160,200,220,250,290,390,510,510,510,510
MEMORY,Qdrant vector query,218,0,7,9.907252293554297,4.308799998398172,152.9660000014701,0.0,3.676363285480518,0.0,7,8,9,10,14,19,26,64,150,150,150
,Aggregated,24955,0,70,84.9319261671233,1.1844000000564847,948.4000000011292,1167.5338409136446,420.84241187690975,0.0,70,92,110,120,160,200,240,280,440,810,950
