Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/dispatch-tasks/:task_id,5134,0,110,120.08551540709641,4.40090000120108,406.2082000018563,223.0,86.6760447939782,0.0,110,130,150,160,190,220,250,270,320,410,410
GET,GET /api/v1/dispatch-tasks/:task_id/result,2267,0,140,145.54916100573902,6.1846000025980175,332.6727000021492,132.0,38.27319702920697,0.0,140,160,170,190,220,250,280,290,330,330,330
GET,GET /api/v1/runtime/threads/:thread_id,727,0,100,111.5641855569986,11.83590000073309,362.5477999994473,30457.0,12.273760141258698,0.0,100,120,130,140,180,210,240,260,360,360,360
GET,GET /health,14815,0,64,72.87304096521277,1.9363999999768566,389.04660000116564,319.0,250.11795941230758,0.0,64,78,90,97,130,160,190,200,310,380,390
GRAPH,Neo4j bounded graph query,189,0,4,5.573244444373318,2.742900000157533,78.75960000092164,0.0,3.1908399817027426,0.0,4,5,5,6,7,8,11,60,79,79,79
POST,POST /api/v1/dispatch-tasks,175,0,62,74.62566400005016,12.717800000245916,286.57640000164974,179.6457142857143,2.9544814645395765,0.0,62,83,99,100,140,160,210,250,290,290,290
POST,POST /api/v1/memory/mutations,84,0,190,273.93398333307624,39.70599999956903,721.5467999994871,339.0,1.4181511029789966,0.0,210,410,450,480,520,600,650,720,720,720,720
POST,POST /api/v1/runtime/threads/:thread_id/overrides,69,0,150,138.02649999996757,19.77420000184793,320.43070000145235,772.463768115942,1.16490983458989,0.0,150,170,190,210,240,290,320,320,320,320,320
MEMORY,Qdrant vector query,237,0,8,15.549012658214869,4.723200003354577,486.5480000007665,0.0,4.001212040547884,0.0,8,9,10,10,13,28,100,350,490,490,490
,Aggregated,23697,0,78,91.04665073214221,1.9363999999768566,721.5467999994871,1199.5427269274592,400.0705558011105,0.0,78,100,120,130,170,190,230,260,440,630,720
