Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/dispatch-tasks/:task_id,5000,0,170,181.25118852000537,15.71570000032807,609.0064999998503,223.0,84.16236484481797,0.0,170,190,200,210,240,270,320,400,600,610,610
GET,GET /api/v1/dispatch-tasks/:task_id/result,3120,0,210,219.24206589744117,49.18210000050749,638.6081000000559,132.0,52.517315663166414,0.0,210,230,240,250,280,320,360,420,630,640,640
GET,GET /health,8292,0,84,92.52246204775884,7.235100000798411,550.1255999997738,369.0,139.57486585864612,0.0,84,96,110,110,140,160,200,220,510,550,550
POST,POST /api/v1/dispatch-tasks,163,0,180,201.23982515341166,84.89910000025702,592.1441000000414,180.0,2.743693093941066,0.0,180,200,220,220,280,330,440,580,590,590,590
,Aggregated,16575,0,140,144.21053001508733,7.235100000798411,638.6081000000559,278.4873604826546,278.9982394605716,0.0,140,170,190,200,230,270,310,360,600,640,640
